# ERC-20 INACTIVITY denylist — (chain_id, address) pairs pruned for being dead.
# Generated from a 30-day Alchemy transfer screen + provenance triage
# (tools/scan_erc20_alchemy_activity.py -> tools/triage_erc20_activity.py).
# These are NOT scams (unlike erc20_impersonator_denylist.txt) — they are
# tokens with 0 transfers in the window and low provenance (Li.Fi/db-only or
# a single curated DEX list), carrying no blue-chip ticker and not CoinGecko-
# listed. Re-evaluable: a token reviving could justify removing its line.
# Format: <chain_id> <address>  # <tier> <symbol> <reason>
1 0x17c090F9a17E4e5a8cEb23bbe7E7e28E3C4Ca196  # SAFE_DROP DNS 0 transfers; low provenance (lifi)
1 0x17EaFb42d42FeDc0B950bbCc73FA532216322e7D  # SAFE_DROP yvCurve-frxUSDe-f 0 transfers; low provenance (lifi)
1 0x17EF75AA22dD5f6C2763b8304Ab24f40eE54D48a  # SAFE_DROP RVP 0 transfers; low provenance (lifi)
1 0x181721E2F83Af836f9DD7F7142a095f29581977B  # SAFE_DROP PT-yvBalancer-GHO-US 0 transfers; low provenance (lifi)
1 0x183b5059Fc0Cf6c93C41f8f76d6e052b9580029e  # SAFE_DROP PT-eACRED-2JUL2026 0 transfers; low provenance (lifi)
1 0x186514400e52270cef3D80e1c6F8d10A75d47344  # SAFE_DROP bbUSDC 0 transfers; low provenance (lifi)
1 0x18Cc17a1EeD37C02A77B0B96b7890C7730E2a2CF  # SAFE_DROP oneLINK 0 transfers; low provenance (lifi)
1 0x1941aDa601B91Ea7538E73442a1a632E8F9Ffb70  # SAFE_DROP pUSDC 0 transfers; low provenance (lifi)
1 0x196f4727526eA7FB1e17b2071B3d8eAA38486988  # SAFE_DROP RSV 0 transfers; low provenance (lifi)
1 0x1987c2DCf5674Cf90bEceBAd502714c357ce126a  # SAFE_DROP eEURC-1 0 transfers; low provenance (lifi)
1 0x19b22DbADc298c359A1D1b59e35f352A2b40E33c  # SAFE_DROP TXPT 0 transfers; low provenance (lifi)
1 0x19ebAA7F212b09de2aee2a32D40338553C70e2e3  # SAFE_DROP ARTM 0 transfers; low provenance (lifi)
1 0x19F4a2f8E21915376F1429C26a3A9B9b1db5FF5A  # SAFE_DROP CHADLINK 0 transfers; low provenance (lifi)
1 0x1A0d4D92a9fdd5fFF38C011275c16e7A147D3788  # SAFE_DROP PT-rsETH-25JUN2026 0 transfers; low provenance (lifi)
1 0x1a4485101815E5afEb4d83e7A4FEbB822e683d99  # SAFE_DROP PT-ysWETH-30OCT2025 0 transfers; low provenance (lifi)
1 0x1A8cf0A544E371C982E75c23e2B633727594E37A  # SAFE_DROP MDZ 0 transfers; low provenance (lifi)
1 0x1ab9e92CFdE84f38868753d30fFc43F812B803C5  # SAFE_DROP eRZR-1 0 transfers; low provenance (lifi)
1 0x1B4cd53a1A8e5F50aB6320EF34E5fB4D3df7B6f6  # SAFE_DROP gtAUSDc 0 transfers; low provenance (lifi)
1 0x1B7712be0AB4ED3f0aFb830d26B10C50a252B82F  # SAFE_DROP ePT-jrUSDe-15JAN2026 0 transfers; low provenance (lifi)
1 0x1BA04a8D604750E8524007fA89455CB9e4944B81  # SAFE_DROP PT-USN-30OCT2025 0 transfers; low provenance (lifi)
1 0x1BED97CBC3c24A4fb5C069C6E311a967386131f7  # REVIEW yETH 0 transfers; curated by optimism_super
