# ERC-20 impersonator denylist — (chain_id, address) pairs excluded from the token db.
# Generated by tools/scan_erc20_impersonators.py (offline symbol-collision scan).
# Each token wears a curated ticker at a non-canonical address vouched only by a
# low-trust source (overwhelmingly Li.Fi). Consumed by tools/build_erc20_db.py.
# Format: <chain_id> <address>  # <severity> <symbol> impersonates <real_symbol>
1 0x4824A7b64E3966B0133f4f4FFB1b9D6bEb75FFF7  # MEDIUM TCT impersonates TCT (real 0xE9db0A36877dE86EfD134F87CAF3Db29f90b275c)
1 0x486F4641eF2B50cC130Dadbd27B6F271723873b8  # MEDIUM GOLD impersonates GOLD (real 0x089453742936dd35134383aee9d78bEe63A69b01)
1 0x4ABB9cC67BD3da9Eb966d1159A71a0e68BD15432  # MEDIUM KEL impersonates KEL (real 0xDA6A3876AD460194Cd7bA28062D838C98Ee2fD1d)
1 0x4d75D9e37667a2d4677Ec3d74bDD9049326Ad8d6  # MEDIUM WAR impersonates WAR (real 0x983d8edB44Ca96c0595f3c456ebdD47855911f34)
1 0x4D807509aECe24C0fa5A102b6a3B059Ec6E14392  # MEDIUM ONE impersonates ONE (real 0x946551DD05C5Abd7CC808927480225ce36D8c475)
1 0x4e568ab95F029E8dF1e39b30c9d6D076eaA15945  # MEDIUM FLY impersonates FLY (real 0x85f6eB2BD5a062f5F8560BE93FB7147e16c81472)
1 0x4Efe8665e564bF454cCF5C90Ee16817F7485d5Cf  # MEDIUM BDT impersonates BDT (real 0xcac1277AA6ECB68b84FAD070910d37029E810b79)
1 0x5167f7CdeB771417d8722e654CCC3E1734a01878  # MEDIUM BLAST impersonates BLAST (real 0x3127294F1FD3C097eF31E54301069346B29D0209)
1 0x5181cD56C2C71d20094d23d43F4D6362834643AE  # MEDIUM Re7WETH impersonates RE7WETH (real 0x78Fc2c2eD1A4cDb5402365934aE5648aDAd094d0)
1 0x51863Ec92BA14ede7B17fb2B053145C90E215A57  # MEDIUM dEth impersonates DETH (real 0x871aB8E36CaE9AF35c6A3488B049965233DeB7ed)
1 0x533E90705c0D1a364Eb63D620EA16C8478179894  # MEDIUM TOMI impersonates TOMI (real 0x4385328cc4D643Ca98DfEA734360C0F596C83449)
1 0x53aaBCcAE8C1713a6a150D9981D2ee867D0720e8  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
1 0x559eBC30b0E58a45Cc9fF573f77EF1e5eb1b3E18  # MEDIUM VOLT impersonates VOLT (real 0x66b5228CfD34d9f4d9f03188d67816286C7c0b74)
1 0x56366Ce135cC5F636365f11e4e3450eF03241C44  # MEDIUM BONE impersonates BONE (real 0x7076De6fF1d91e00Be7E92458089C833De99E22E)
1 0x58Dc5a51fE44589BEb22E8CE67720B5BC5378009  # MEDIUM SLP impersonates SLP (real 0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25)
